Código;Descripción;;Linea;Imp.;Desc.;Precio Vent.;Precio May.;Precio Cost.;Stock Min;Mon.
7896058257724;TORTUGUITA FORMATO SABOR CHOCOLATE 90GR;UNIDADES;24;10;0;3.500;0;2.500;2;1
7896058500592;YOGURTE CHUPETIN MST 580G;UNIDADES;24;10;0;12.000;0;9.334;2;1
7896058501100;MANI SALADO 100GR;UNIDADES;27;10;0;3.500;0;2.009;2;1
7896058501209;MANI COLORIDO 100GR;UNIDADES;24;10;0;3.000;0;1.995;2;1
7896058501308;MANI CHOCOLATE 100GR;UNIDADES;24;10;0;3.000;0;2.027;2;1
7896058501407;CARAMELO GOMETIS 100GR;UNIDADES;24;10;0;3.000;0;2.035;2;1
7896058501704;HUEVITOS COLORIDOS DELIKET 100GR;UNIDADES;24;10;0;1.990;0;1.423;2;1
7896058502206;MANI COLORIDO 200GR;UNIDADES;24;10;0;3.490;0;2.751;2;1
7896058502305;MANI CHOCOLATE 200GR;UNIDADES;24;10;0;3.990;0;3.040;2;1
7896058503784;MANI NATURAL 100GR;UNIDADES;27;10;0;3.500;0;2.190;2;1
7896058503869;MANI CON PIMIENTA ROJA PETTIZ 90GR;UNIDADES;27;10;0;3.500;0;2.190;2;1
789605850443;GOMETS BUDIN DE GOMA 100GR;UNIDADES;24;10;0;1.880;0;1.492;2;1
7896058505443;GOMETS BUDIN DE GOMA 100GR;UNIDADES;24;10;0;3.000;0;2.035;2;1
7896058505450;GUSANOS DE FRUTAS 100GR;UNIDADES;24;10;0;3.000;0;2.035;2;1
7896058505467;GOMETIS FRUIT SLICES 100G;UNIDADES;24;10;0;3.000;0;2.035;2;1
7896058506105;GOMETS GELADITA;UNIDADES;24;10;0;1.000;0;403;2;1
7896058507065;CARAMELO DURO MEN/HOR 700G;UNIDADES;1;10;0;10.290;0;8.182;2;1
7896058508048;CARAMELO FRU FRUTSY 700GR;UNIDADES;1;10;0;10.290;0;8.182;2;1
7896058512496;PALETA ZAZUAGE X CAJA;UNIDADES;1;10;0;16.390;0;13.000;2;1
7896058513653;FRUSTY CHUPETIN CHOCOLATE 580 G;UNIDADES;24;10;0;12.000;0;9.317;2;1
7896058513752;PALETA ZAZUAGE X CAJA;UNIDADES;1;10;0;16.390;0;13.000;2;1
7896058516104;GOMA TUBO DISPLAY 30 U;UNIDADES;24;10;0;16.000;0;12.090;2;1
7896058590302;MAN! CHOCOLATE 40GR;UNIDADES;1;10;0;790;0;621;2;1
7896058590401;TIRAS D/GOMA GOMETIS 40GR;UNIDADES;1;10;0;790;0;593;2;1
7896058590708;HUEVITOS COLORIDOS 40GR;UNIDADES;1;10;0;790;0;619;2;1
7896058591156;MANI COLORIDO 30GR;UNIDADES;1;10;0;790;0;593;2;1
7896058591507;CARAMELO YOGURTH 600GR;UNIDADES;26;10;0;10.000;0;7.701;2;1
7896058591521;CARA YOGURT 100FRUTAS ROJAS 600GR;UNIDADES;24;10;0;7.190;0;5.720;2;1
7896058591552;YOGURTH 100 DURO 600GR;UNIDADES;24;10;0;10.500;0;8.133;2;1
7896058591606;CARAMELO MAST FRUTSY SURTIDAS X 600GR;UNIDADES;24;10;0;10.000;0;7.724;2;1
7896058591613;CARAMELO DURO DE MENTA 600GR;UNIDADES;26;10;0;10.000;0;7.466;2;1
7896058591620;CARAMELO DE MENTA RELLENA 600GR;UNIDADES;26;10;0;8.000;0;6.352;2;1
7896058591699;CARAMELO DURA DE FRUTILLA 600GR;UNIDADES;26;10;0;8.500;0;6.740;2;1
7896058592672;CARAMELOS GOMA CORAZON 190GR;UNIDADES;26;10;0;2.750;0;2.195;2;1
7896058592689;CARAMELO GOMA FRUIT SLICES 190GR;UNIDADES;26;10;0;2.750;0;2.195;2;1
7896058592702;CARAMELOS GUSANOS DE GOMA 190G;UNIDADES;26;10;0;2.750;0;2.195;2;1
7896058592726;CARAMELOS GOMA OSO FRUTAS 190G;UNIDADES;26;10;0;2.750;0;2.195;2;1
7896061300189;GALLETITAS TUC´S QUESO 100G;UNIDADES;1;10;0;1.750;0;1.283;2;1
7896061300677;GALLETITAS TUC'S SALADO 100GR;UNIDADES;1;10;0;2.500;0;1.840;2;1
7896061301861;GALLETITAS TUCS PIZZA 100 GR;UNIDADES;1;10;0;1.750;0;1.400;2;1
7896061301865;GALLETITAS TUCS PIZZA;UNIDADES;1;10;0;2.500;0;1.840;2;1
7896061302251;GALLETITAS TUCS CHURRASCO;UNIDADES;1;10;0;1.750;0;1.283;2;1
7896061915109;P.H. SUBLIME NEUTRO 30M;UNIDADES;1;10;0;4.720;0;3.900;2;1
7896061915116;P.H. SUBLIME PERF. 4U X 30;UNIDADES;1;10;0;4.720;0;3.900;2;1
7896061915253;PAPEL HIGIENICO SUBLIME DUO X 4U;UNIDADES;23;10;0;8.500;0;6.804;2;1
7896061915307;P. HIG. SUBLIMENT 12U;UNIDADES;1;10;0;13.990;0;10.909;2;1
7896061916113;PAPEL HIGIENICO SOFTY´S PERF 16*4;UNIDADES;1;10;0;9.790;0;7.833;2;1
7896061920233;TOALLA DEPAPEL KITCHENFT;UNIDADES;6;10;0;6.560;0;5.205;2;1
7896061920271;TOALLA DE PAPEL KITCHEN DECORADAS*2 19*2;UNIDADES;1;10;0;8.900;0;7.044;2;1
7896061926006;PAPEL SNACK;UNIDADES;27;10;0;7.100;6.750;5.675;2;1
7896061932007;SNACK SERVILLETA;UNIDADES;27;10;0;1.600;0;1.000;2;1
