id;categoria_id;nombre;precio;tipo_id
179;1068;Cereal Kellogs Zucaritas 500gr;22750;1
180;1068;Cereal Kellogs Zucaritas 150gr;10900;1
181;1069;Budín Bauducco Marmolada 200gr;9900;1
182;1069;Budín Bauducco de coco 200gr;9900;1
183;1069;Budin Bimbo Sabor Vainilla 200gr;9400;1
184;1070;Nachos Tostitos Evercrisp Bolsa 300gr;15000;1
185;1070;Nachos con Picante Taco Villa 300gr;13550;1
186;1070;Nachos sabor cebolla Taco Villa 300gr;13550;1
187;1071;Turrón Navideño Arcor 120gr;4800;1
188;1072;Galletita Aventura Relleno de Frutilla 120gr;1900;1
189;1072;Galletita Toddy Chispas Chocolate 75gr;4500;1
190;1072;Galletita Vainilla Frac 130gr;5050;1
191;1073;Galletitas Cerealitas Salvado 200gr;5500;1
192;1073;Galletita Mazzei Crackers Semillas de Chia 245gr;4900;1
193;1073;Galletita Saladix Duo Jamon/Queso 25gr;1890;1
194;1074;Chupetin Mr. Pop Arcor Frutal 50 Unidades;13750;1
195;1075;Caramelo Soberana Cafe 600gr;13500;1
196;1075;Caramelo Arcor Rellenos Frutales 810gr;20500;1
197;1075;Caramelo Ambrosoli Mentitas 25gr;2000;1
198;1076;Chicle Trident Frutilla 8gr;1500;1
199;1076;Chicle Bendent Menta 10gr;2500;1
200;1076;Chicle Bendent Frutilla 10gr;2500;1
201;1078;Maíz para Pororó Arcoiris 800gr;8500;1
202;1078;Maiz para Pororó Arcoiris 400gr;4500;1
203;1078;Maíz para Pororó Arcoiris 200gr;2200;1
204;1079;Lenteja Arcoiris 500gr;13700;1
205;1079;Lenteja Arcoiris 200gr;5500;1
206;1079;Lenteja Primicia 200gr;5800;1
207;1080;Maiz Blanco por kilo;9500;2
208;1080;Maíz Chipa;11500;2
209;1081;Locro Primicia bolsa de 800gr;7900;1
210;1082;Poroto Negro Primicia 500gr;8900;1
211;1082;Poroto Colorado Primicia 200gr;6100;1
212;1082;Poroto Colorado Primicia 500gr;16500;1
213;1083;Nuez Mariposa;160000;2
214;1083;Ciruela Seca ;49900;2
215;1083;Almendras ;152500;2
216;1084;Semilla de Sésamo Sésami Tostada 300gr;14500;1
217;1084;Maní Salado Guasu 250gr;10900;1
218;1084;Semilla de Lino Arcoíris 200gr;5100;1
219;1085;Medialuna con Relleno de Guayaba;2750;1
220;1085;Medialuna con Relleno de Dulce de leche;2750;1
221;1086;Torta Marmolada por porción;3850;1
222;1087;Naranja;6100;1
223;1087;Uva Negra Brasilera;27400;1
224;1087;Mburucuya;27500;2
225;1088;Pera de Agua;9800;2
226;1088;Manzana Verde;12900;2
227;1088;Manzana Colegiala;8500;2
228;1089;Ciruela;21250;2
229;1090;Mandarina Nacional;12900;2
230;1090;Pomelo Nacional;4200;2
231;1090;Limon Taití;7900;2
232;1091;Zapallo Nacional;4100;2
233;1091;Zapallo Brasilero;5500;2
234;1091;Zapallito Italiano Zucchini;11900;2
235;1092;Zanahoria Por Kilo;10800;2
236;1092;Mandioca;2700;2
237;1092;Remolacha por kilo;10500;2
238;1093;Apio Mazo Grande;10500;3
239;1093;Cilantro Por Mazo;2000;3
240;1093;Lechuga Común Por Unidad;2900;3
241;1095;Arvejas Frutos del Maipo 500gr;12400;1
242;1095;Acelga Sadia IQF 500gr;13000;1
243;1095;Salteado Frutos del Maipo Chap Sui 500gr;15700;1
244;1096;Pan Árabe Bimbo Rapiditas Light 310gr;11500;1
245;1096;Pan Árabe Bimbo Rapiditas Clásicas 310gr;11200;1
246;1096;Tortillas Finitas Mazzei con Sésamo y Lino 10 unidades;10900;1
247;1097;Pan de Viena Pancho Pan Todos 12 uni;7500;1
248;1097;Pan de Sandwich Blanco Bimbo Liviano 400gr;9500;1
249;1097;Pan Sandwich Bimbo Lacteado Actileche 700gr;11950;1
250;1098;Pan de Sandwich PanTodos Salvado 460gr;7900;1
251;1098;Pan de Sandwich Bimbo Integral 680gr;11900;1
252;1098;Pan Bimbo Oroweat Semillas 600gr;17500;1
253;1099;Pan de Glúten El Germano 300gr;15900;1
254;1100;Pan para Hamburguesa paquete 6 unidades;3600;1
255;1100;Pan para Hamburguesa PanTodos x6 Unidades;6800;1
256;1101;Pre pizzas PanTodos Blanco 250gr;5900;1
257;1101;Pre-pizzas My Friend Integral;4300;1
258;1101;Pre-pizzas El Germano masa fina 120gr;4800;1
259;1102;Coquito por kg;14300;2
260;1102;Galleta Por Kg;6300;2
261;1102;Pan Baguette Por Unidad;5500;1
262;1103;Pan Felipe Por Kg;5250;2
263;1104;Pan de Ajo Santa Massa Tradicional 270gr;20100;1
264;1104;Pan de Ajo Santa Massa Levemente Picante 270gr;13250;1
265;1104;Pan de Ajo Santa Massa Levemente Picante 400gr;19900;1
266;1105;Pan Dulce Mazzei Tradicional con Frutas 400gr;16500;1
267;1105;Pan Dulce Arcor 400gr;20100;1
268;1105;Pan Dulce Panettone Bauducco 400gr;20600;1
269;1106;Huevos Yemita caja de 6 unidades;5550;1
270;1106;Huevos Yemita caja de 30 unidades;26900;1
271;1106;Huevos Yemita caja de 12 unidades;9500;1
272;1107;Huevo de Codorniz caja 24 unidades;12800;1
273;1108;Masa Granopar para Mbeju 1kg;25200;1
274;1108;Masa Granopar para Sopa Paraguaya 1kg;30000;1
275;1108;Masa Granopar para Chipa 1kg;30000;1
276;1109;Neuland Tapa Cuadril al vacío;78900;1
277;1110;Tira Costilla Neuland al Vacio;35900;1
278;1111;Neuland Vacío al vacío;52900;1
279;1112;Neuland Peceto al vacío;33900;1
280;1112;eceto Congelado Concepcion Por Kilo;38500;2
281;1113;Neuland Colita Cuadril al vacío;54900;1
282;1114;Neuland Bife de Chorizo;44900;1
283;1115;Neuland Entrecostilla al vacío;48900;1
284;1117;Neuland Lomito al vacío;79900;1
285;1118;Neuland Picada Parrillera al vacío;33900;1
286;1119;Neuland Ojo de Bife al vacío;44950;1
287;1120;Neuland Milanesa Especial al vacío;45900;1
288;1121;Neuland Carne Molida Popular 500gr;10900;1
289;1121;Neuland Carne Molida Especial 500gr;14900;1
290;1121;Carne Molida De Primera Por Kg;33900;2
291;1122;Bola de Lomo;36900;1
292;1122;Carne Lomo Limpio Por Kg;43750;1
293;1122;Carne Lomo Fileteado por kg;44900;1
294;1123;Osobuco;22800;2
295;1123;Mondongo Vacuno;21900;1
296;1124;Carnaza Blanca Fileteada Por Kg;31900;2
297;1124;Carnaza Blanca por Kg;31900;2
298;1124;Carnaza Negra por kilo;38750;2
299;1125;Albóndigas de Carne Concepción Congeladas bolsa de 800gr;21900;1
300;1126;Falda Por Kilo;16900;2
301;1127;Rabadilla Fileteada por kg;43000;2
302;1127;Rabadilla Por Kg;38000;2
303;1127;Hígado Vacuno Por Kg;13000;2
304;1128;Pollo Pechugon Pollo Parrillero Fresco;11615;1
305;1128;Pollo Pechugon Entero Especial Fresco sin Menudos;11800;1
306;1128;Pollo Pechugon El gran pollo sin menudos;10450;1
307;1129;Pollo Don Juan Muslo Cadera Fresco a Granel;14300;1
308;1129;Pollo Pechugon Muslo Entero Congelado;10300;1
309;1129;Pollo Don Juan Muslo Cadera Paquete congelado;12900;1
310;1130;Pollo Pechugon Pechuga Deshuesada Sin Piel por kg;27850;2
311;1130;Pollo Don Juan Pechuga Entera Fresca;13900;1
312;1130;Pollo Pechugon Tiritas de Pechuga IQF;25900;1
313;1131;Puchero Popular Neuland;7900;1
314;1131;Puchero de Primera por Kilo;12900;2
315;1131;Puchero Especial Neuland;9900;1
316;1132;Pollo Pechugon Gallina Congelada por kilo;10900;2
317;1133;Pollo Pechugon Patitas congeladas IQF;14450;1
318;1134;Pollo Pechugon Caderitas congeladas IQF;13400;1
319;1135;Pollo Pechugon Alita congelada IQF bolsa de 800gr;12200;1
320;1136;Pollo Don Juan Corazón de Pollo fresco a granel;16700;1
321;1136;Pollo Don Juan Corazón de Pollo Paquete congelado;14600;1
322;1137;Pollo Don Juan Molleja fresca a granel;8500;2
323;1137;Pollo Don Juan Molleja paquete congelado;7200;1
324;1138;Milanesa de Pollo Don Juan Muslito Ale bandeja;31900;1
325;1138;Pollo Pechugon Milanesa de pollo x6 unidades;17825;1
